epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1322.04,1.06605,3.63238,1.30197,0.20168,0.38621,0.19105,0.15033,0.96083,3.32944,1.21012,0.000999676,0.000999676,0.0676771
2,2984.47,0.96721,2.91483,1.2159,0.2033,0.4637,0.2524,0.1924,0.94034,2.87991,1.18976,0.00193369,0.00193369,0.0352778
3,4289.61,0.89107,2.62751,1.16722,0.21588,0.51559,0.28498,0.21684,0.89392,2.54412,1.16047,0.0028017,0.0028017,0.00281249
4,5591.18,0.85651,2.46882,1.14128,0.29231,0.5253,0.29339,0.22973,0.85502,2.41147,1.13918,0.002703,0.002703,0.002703
5,6893.61,0.81832,2.37544,1.12075,0.35523,0.44834,0.35148,0.27339,0.80269,2.25506,1.09203,0.002604,0.002604,0.002604
6,8185.98,0.78654,2.28203,1.09531,0.36974,0.5672,0.37807,0.30043,0.77538,2.22105,1.06858,0.002505,0.002505,0.002505
7,9486.8,0.76076,2.2068,1.08207,0.33581,0.56585,0.42403,0.346,0.76763,2.11918,1.06454,0.002406,0.002406,0.002406
8,10787,0.74999,2.08403,1.07687,0.49091,0.5746,0.52753,0.42454,0.75569,1.90227,1.06964,0.002307,0.002307,0.002307
9,12067.5,0.75051,1.9917,1.07315,0.41848,0.63802,0.55147,0.45517,0.74353,1.9522,1.05552,0.002208,0.002208,0.002208
10,13338.7,0.73855,1.85336,1.06088,0.5203,0.60785,0.62685,0.51868,0.74954,1.63942,1.05104,0.002109,0.002109,0.002109
11,14612.8,0.72083,1.70889,1.05664,0.6252,0.67007,0.69565,0.57182,0.73031,1.4941,1.03959,0.00201,0.00201,0.00201
12,15903.4,0.70979,1.57562,1.04748,0.68433,0.72704,0.76387,0.63914,0.72494,1.30649,1.04425,0.001911,0.001911,0.001911
13,17197.9,0.69823,1.48447,1.03668,0.76735,0.71615,0.8013,0.67064,0.71833,1.17495,1.03943,0.001812,0.001812,0.001812
14,18480.4,0.69678,1.40911,1.03391,0.77516,0.74763,0.80947,0.67853,0.70312,1.21162,1.02638,0.001713,0.001713,0.001713
15,19757.2,0.68393,1.36065,1.03173,0.80345,0.7665,0.8311,0.69522,0.69047,1.07234,1.02046,0.001614,0.001614,0.001614
16,21026.5,0.66457,1.29065,1.02171,0.80364,0.78437,0.84097,0.71126,0.70148,1.04956,1.0118,0.001515,0.001515,0.001515
17,22312.8,0.66694,1.22467,1.01534,0.8514,0.80691,0.88654,0.74976,0.68114,0.8995,1.01001,0.001416,0.001416,0.001416
18,23588.1,0.64391,1.16646,1.01075,0.87917,0.80294,0.89403,0.7512,0.68899,0.92223,1.00703,0.001317,0.001317,0.001317
19,24859.9,0.64371,1.09745,1.00408,0.92282,0.80387,0.90168,0.76071,0.68093,0.86586,1.006,0.001218,0.001218,0.001218
20,26143,0.62551,1.05791,1.00481,0.88475,0.83536,0.91601,0.77596,0.66257,0.78029,0.99542,0.001119,0.001119,0.001119
21,27411.2,0.62942,1.03552,1.00449,0.91745,0.82574,0.91659,0.76717,0.67284,0.79247,0.99519,0.00102,0.00102,0.00102
22,28681.3,0.62611,1.01592,0.99641,0.91743,0.83287,0.92206,0.78475,0.65246,0.76342,0.9868,0.000921,0.000921,0.000921
23,29940,0.58889,0.69694,0.94674,0.8902,0.86715,0.93317,0.79133,0.64957,0.73449,0.98643,0.000822,0.000822,0.000822
24,31205.6,0.57541,0.64752,0.94604,0.91996,0.85286,0.93468,0.78795,0.65654,0.7074,0.98784,0.000723,0.000723,0.000723
25,32763.4,0.57535,0.63573,0.94438,0.89962,0.85851,0.93543,0.78946,0.64541,0.70495,0.98208,0.000624,0.000624,0.000624
26,34100.4,0.56303,0.59919,0.93612,0.92907,0.87345,0.94781,0.80514,0.63737,0.65584,0.97831,0.000525,0.000525,0.000525
27,35382.7,0.5557,0.58233,0.93669,0.907,0.87701,0.94246,0.80174,0.62636,0.65591,0.96908,0.000426,0.000426,0.000426
28,36700.9,0.5474,0.54992,0.92742,0.91009,0.88391,0.9473,0.80765,0.62727,0.62975,0.96931,0.000327,0.000327,0.000327
29,37984.6,0.53851,0.53296,0.92426,0.93071,0.87795,0.95189,0.80724,0.62582,0.63017,0.96526,0.000228,0.000228,0.000228
30,39276.4,0.53343,0.52178,0.92101,0.9047,0.89558,0.94762,0.80836,0.61982,0.6199,0.96445,0.000129,0.000129,0.000129
